"Timestamp","Temperature_Celsius(℃)","Relative_Humidity(%)"
"2022-08-16 21:39:31","28.7","43"
"2022-08-16 22:39:31","28.7","44"
"2022-08-16 23:39:32","28.5","44"
"2022-08-17 00:39:35","28.6","48"
"2022-08-17 01:39:35","28.8","49"
"2022-08-17 02:39:35","29.0","49"
"2022-08-17 03:39:47","28.5","45"
"2022-08-17 04:39:50","28.8","46"
"2022-08-17 05:39:50","28.9","47"
"2022-08-17 06:39:50","29.0","47"
"2022-08-17 07:39:50","29.1","48"
"2022-08-17 08:39:50","29.2","48"
"2022-08-17 09:39:50","29.2","48"
"2022-08-17 10:39:51","29.2","48"
"2022-08-17 11:39:51","29.3","48"
"2022-08-17 12:39:02","29.0","48"
"2022-08-17 13:39:02","29.0","50"
"2022-08-17 14:39:02","29.2","50"
"2022-08-17 15:39:02","29.2","50"
"2022-08-17 16:39:03","29.2","51"
"2022-08-17 17:39:11","29.1","50"
"2022-08-17 18:39:20","28.7","50"
"2022-08-17 19:39:23","28.5","52"
"2022-08-17 20:39:28","27.8","54"
"2022-08-17 21:39:36","28.3","51"
"2022-08-17 22:39:43","27.6","51"
"2022-08-17 23:39:52","27.6","50"
"2022-08-18 00:39:59","27.2","50"
"2022-08-18 01:39:07","27.3","52"
"2022-08-18 02:39:19","26.3","46"
"2022-08-18 03:39:32","27.6","48"
"2022-08-18 04:39:32","28.0","49"
"2022-08-18 05:39:32","28.1","50"
"2022-08-18 06:39:32","28.2","50"
"2022-08-18 07:39:32","28.4","50"
"2022-08-18 08:39:32","28.8","50"
"2022-08-18 09:39:32","28.8","50"
"2022-08-18 10:39:40","28.9","49"
"2022-08-18 11:39:40","29.1","49"
"2022-08-18 12:39:43","29.1","50"
"2022-08-18 13:39:44","29.4","49"
"2022-08-18 14:39:44","29.4","48"
"2022-08-18 15:39:44","29.3","47"
"2022-08-18 16:39:44","29.3","46"
"2022-08-18 17:39:44","29.3","46"
"2022-08-18 18:39:44","29.2","46"
"2022-08-18 19:39:44","29.2","45"
"2022-08-18 20:39:44","29.2","45"
"2022-08-18 21:39:52","28.9","46"
"2022-08-18 22:39:57","28.2","43"
"2022-08-18 23:39:57","27.7","43"
"2022-08-19 00:39:00","27.5","42"
"2022-08-19 01:39:00","27.3","44"
"2022-08-19 02:39:02","28.3","46"
"2022-08-19 03:39:02","28.5","47"
"2022-08-19 04:39:02","28.5","48"
"2022-08-19 05:39:02","28.6","49"
"2022-08-19 06:39:02","28.6","49"
"2022-08-19 07:39:02","28.6","49"
"2022-08-19 08:39:02","28.8","49"
"2022-08-19 09:39:02","28.8","49"
"2022-08-19 10:39:06","28.9","50"
"2022-08-19 11:39:06","29.0","50"
"2022-08-19 12:39:06","29.1","49"
"2022-08-19 13:39:06","28.8","52"
"2022-08-19 14:39:08","28.5","48"
"2022-08-19 15:39:08","27.9","45"
"2022-08-19 16:39:11","27.7","48"
"2022-08-19 17:39:12","27.6","51"
"2022-08-19 18:39:15","27.4","50"
"2022-08-19 19:39:17","27.2","51"
"2022-08-19 20:39:17","27.2","51"
"2022-08-19 21:39:20","27.4","51"
"2022-08-19 22:39:27","27.7","50"
"2022-08-19 23:39:32","28.2","51"
"2022-08-20 00:39:35","28.2","52"
"2022-08-20 01:39:36","28.3","52"
"2022-08-20 02:39:40","28.4","52"
"2022-08-20 03:39:40","28.4","51"
"2022-08-20 04:39:40","28.3","51"
"2022-08-20 05:39:40","28.3","50"
"2022-08-20 06:39:40","28.3","48"
"2022-08-20 07:39:40","28.6","47"
"2022-08-20 08:39:40","28.9","47"
"2022-08-20 09:39:40","29.2","45"
"2022-08-20 10:39:44","29.3","43"
"2022-08-20 11:39:44","28.2","37"
"2022-08-20 12:39:44","27.8","37"
"2022-08-20 13:39:48","27.6","37"
"2022-08-20 14:39:51","27.6","39"
"2022-08-20 15:39:56","27.4","41"
"2022-08-20 16:39:00","27.3","39"
"2022-08-20 17:39:04","27.2","39"
"2022-08-20 18:39:12","26.9","39"
"2022-08-20 19:39:19","27.2","40"
"2022-08-20 20:39:19","27.5","40"
"2022-08-20 21:39:20","27.2","41"
"2022-08-20 22:39:20","27.8","42"
"2022-08-20 23:39:30","28.0","42"
"2022-08-21 00:39:32","28.1","43"
"2022-08-21 01:39:36","28.1","43"
"2022-08-21 02:39:40","28.1","43"
"2022-08-21 03:39:40","28.1","43"
"2022-08-21 04:39:47","28.1","43"
"2022-08-21 05:39:47","28.0","43"
"2022-08-21 06:39:47","28.0","44"
"2022-08-21 07:39:47","28.2","44"
"2022-08-21 08:39:47","28.5","44"
"2022-08-21 09:39:47","28.7","44"
"2022-08-21 10:39:47","28.7","45"
"2022-08-21 11:39:49","28.7","45"
"2022-08-21 12:39:51","28.7","46"
